iter	Passed	Remaining
0	3	370
1	8	427
2	12	408
3	15	372
4	18	356
5	23	370
6	26	356
7	30	346
8	33	340
9	38	349
10	42	342
11	45	333
12	48	327
13	54	331
14	58	331
15	62	329
16	66	323
17	71	327
18	76	324
19	80	321
20	85	321
21	88	312
22	90	301
23	92	292
24	93	281
25	95	271
26	97	263
27	100	257
28	102	251
29	104	244
30	106	236
31	107	227
32	108	219
33	109	212
34	110	204
35	111	198
36	113	192
37	114	187
38	115	180
39	116	174
40	117	169
41	118	163
42	119	159
43	122	155
44	123	151
45	125	146
46	125	142
47	128	138
48	130	135
49	131	131
50	133	128
51	135	124
52	136	120
53	137	117
54	138	113
55	139	109
56	140	106
57	156	112
58	162	113
59	172	115
60	183	117
61	186	114
62	190	111
63	193	108
64	195	105
65	196	101
66	198	97
67	199	93
68	200	90
69	201	86
70	202	82
71	205	80
72	207	76
73	208	73
74	209	69
75	210	66
76	211	63
77	212	59
78	213	56
79	214	53
80	215	50
81	216	47
82	217	44
83	218	41
84	220	38
85	221	36
86	222	33
87	223	30
88	224	27
89	225	25
90	226	22
91	227	19
92	228	17
93	229	14
94	230	12
95	230	9
96	231	7
97	232	4
98	235	2
99	236	0
